"years","initN","num_clutches","mean","lcl","ucl"
2023,150,10,300,300,300
2024,150,10,299.268654603175,261,337
2025,150,10,298.527751111111,246,354
2026,150,10,297.796520634921,234,366
2027,150,10,297.046050582011,224,376
2028,150,10,296.329468888889,215,385
2029,150,10,295.57390994709,208,393
2030,150,10,294.85879968254,200,401
2031,150,10,294.147497777778,194,408
2032,150,10,293.42744,188,414
2033,150,10,292.670428571429,182,420
2034,150,10,291.934822645503,177,426
2035,150,10,291.188706560847,171,431
2036,150,10,290.424747301587,167,436
2037,150,10,289.68684994709,162,440
2038,150,10,288.939398730159,157,445
2039,150,10,288.172720634921,153,449
2040,150,10,287.423411428571,149,453
2041,150,10,286.679936507937,145,457
2042,150,10,285.957778412698,141,461
2043,150,10,285.261499259259,137,465
2044,150,10,284.509259259259,134,468
2045,150,10,283.783112910053,131,472
2046,150,10,283.043203703704,127,475
2047,150,10,282.343068042328,124,478
2048,150,10,281.600254179894,121,481
2049,150,10,280.837444973545,118,484
2050,150,10,280.088698306878,115,487
2051,150,10,279.382942328042,112,490
2052,150,10,278.668451111111,109,492
2053,150,10,277.882968042328,107,495
2023,200,15,400,400,400
2024,200,15,399.153264761905,349,450
2025,200,15,398.328822116402,328,471
2026,200,15,397.482215343915,313,488
2027,200,15,396.671088994709,300,502
2028,200,15,395.843785291005,288,514
2029,200,15,394.977306137566,278,525
2030,200,15,394.179802645503,269,535
2031,200,15,393.37897026455,260,544
2032,200,15,392.553092169312,252,553
2033,200,15,391.706013862434,245,561
2034,200,15,390.858517354497,237,568
2035,200,15,390.026803597884,231,576
2036,200,15,389.180713968254,224,582
2037,200,15,388.38865957672,218,589
2038,200,15,387.537562116402,212,595
2039,200,15,386.723306031746,207,601
2040,200,15,385.915206349206,201,607
2041,200,15,385.091450687831,196,612
2042,200,15,384.301261587302,191,618
2043,200,15,383.48726031746,186,623
2044,200,15,382.678219259259,182,628
2045,200,15,381.810967195767,177,632
2046,200,15,380.978734391534,173,637
2047,200,15,380.132732169312,169,641
2048,200,15,379.317305502646,165,645
2049,200,15,378.511269100529,161,649
2050,200,15,377.68605015873,157,653
2051,200,15,376.878879470899,153,658
2052,200,15,376.099486137566,150,661
2053,200,15,375.269376507936,146,665
2023,250,20,500,500,500
2024,250,20,499.101657883598,436,562
2025,250,20,498.18326031746,411,589
2026,250,20,497.232518941799,391,610
2027,250,20,496.297762222222,375,627
2028,250,20,495.393453121693,361,642
2029,250,20,494.501039365079,349,656
2030,250,20,493.603120952381,337,669
2031,250,20,492.70932952381,327,681
2032,250,20,491.827322962963,317,691
2033,250,20,490.935575873016,307,702
2034,250,20,490.058779470899,299,711
2035,250,20,489.114885291005,290,721
2036,250,20,488.207057248677,282,729
2037,250,20,487.282394391534,275,737
2038,250,20,486.381743492063,267,745
2039,250,20,485.462079259259,261,753
2040,250,20,484.542458835979,254,760
2041,250,20,483.58611968254,247,767
2042,250,20,482.645278941799,241,774
2043,250,20,481.740432169312,235,780
2044,250,20,480.846392275132,230,787
2045,250,20,479.851251111111,224,792
2046,250,20,478.966492380952,219,798
2047,250,20,478.039356084656,214,804
2048,250,20,477.108072275132,209,809
2049,250,20,476.163172698413,204,814
2050,250,20,475.227840846561,199,819
2051,250,20,474.304637142857,195,824
2052,250,20,473.432428148148,191,829
2053,250,20,472.441112275132,186,834
2023,150,25,300,300,300
2024,150,25,299.268654603175,261,337
2025,150,25,298.527751111111,246,354
2026,150,25,297.796520634921,234,366
2027,150,25,297.046050582011,224,376
2028,150,25,296.329468888889,215,385
2029,150,25,295.57390994709,208,393
2030,150,25,294.85879968254,200,401
2031,150,25,294.147497777778,194,408
2032,150,25,293.42744,188,414
2033,150,25,292.670428571429,182,420
2034,150,25,291.934822645503,177,426
2035,150,25,291.188706560847,171,431
2036,150,25,290.424747301587,167,436
2037,150,25,289.68684994709,162,440
2038,150,25,288.939398730159,157,445
2039,150,25,288.172720634921,153,449
2040,150,25,287.423411428571,149,453
2041,150,25,286.679936507937,145,457
2042,150,25,285.957778412698,141,461
2043,150,25,285.261499259259,137,465
2044,150,25,284.509259259259,134,468
2045,150,25,283.783112910053,131,472
2046,150,25,283.043203703704,127,475
2047,150,25,282.343068042328,124,478
2048,150,25,281.600254179894,121,481
2049,150,25,280.837444973545,118,484
2050,150,25,280.088698306878,115,487
2051,150,25,279.382942328042,112,490
2052,150,25,278.668451111111,109,492
2053,150,25,277.882968042328,107,495
2023,200,30,400,400,400
2024,200,30,399.153264761905,349,450
2025,200,30,398.328822116402,328,471
2026,200,30,397.482215343915,313,488
2027,200,30,396.671088994709,300,502
2028,200,30,395.843785291005,288,514
2029,200,30,394.977306137566,278,525
2030,200,30,394.179802645503,269,535
2031,200,30,393.37897026455,260,544
2032,200,30,392.553092169312,252,553
2033,200,30,391.706013862434,245,561
2034,200,30,390.858517354497,237,568
2035,200,30,390.026803597884,231,576
2036,200,30,389.180713968254,224,582
2037,200,30,388.38865957672,218,589
2038,200,30,387.537562116402,212,595
2039,200,30,386.723306031746,207,601
2040,200,30,385.915206349206,201,607
2041,200,30,385.091450687831,196,612
2042,200,30,384.301261587302,191,618
2043,200,30,383.48726031746,186,623
2044,200,30,382.678219259259,182,628
2045,200,30,381.810967195767,177,632
2046,200,30,380.978734391534,173,637
2047,200,30,380.132732169312,169,641
2048,200,30,379.317305502646,165,645
2049,200,30,378.511269100529,161,649
2050,200,30,377.68605015873,157,653
2051,200,30,376.878879470899,153,658
2052,200,30,376.099486137566,150,661
2053,200,30,375.269376507936,146,665
2023,250,35,500,500,500
2024,250,35,499.101657883598,436,562
2025,250,35,498.18326031746,411,589
2026,250,35,497.232518941799,391,610
2027,250,35,496.297762222222,375,627
2028,250,35,495.393453121693,361,642
2029,250,35,494.501039365079,349,656
2030,250,35,493.603120952381,337,669
2031,250,35,492.70932952381,327,681
2032,250,35,491.827322962963,317,691
2033,250,35,490.935575873016,307,702
2034,250,35,490.058779470899,299,711
2035,250,35,489.114885291005,290,721
2036,250,35,488.207057248677,282,729
2037,250,35,487.282394391534,275,737
2038,250,35,486.381743492063,267,745
2039,250,35,485.462079259259,261,753
2040,250,35,484.542458835979,254,760
2041,250,35,483.58611968254,247,767
2042,250,35,482.645278941799,241,774
2043,250,35,481.740432169312,235,780
2044,250,35,480.846392275132,230,787
2045,250,35,479.851251111111,224,792
2046,250,35,478.966492380952,219,798
2047,250,35,478.039356084656,214,804
2048,250,35,477.108072275132,209,809
2049,250,35,476.163172698413,204,814
2050,250,35,475.227840846561,199,819
2051,250,35,474.304637142857,195,824
2052,250,35,473.432428148148,191,829
2053,250,35,472.441112275132,186,834
2023,150,10,300,300,300
2024,150,10,299.268654603175,261,337
2025,150,10,298.527751111111,246,354
2026,150,10,297.796520634921,234,366
2027,150,10,297.046050582011,224,376
2028,150,10,296.329468888889,215,385
2029,150,10,295.57390994709,208,393
2030,150,10,294.85879968254,200,401
2031,150,10,294.147497777778,194,408
2032,150,10,293.42744,188,414
2033,150,10,292.670428571429,182,420
2034,150,10,291.934822645503,177,426
2035,150,10,291.188706560847,171,431
2036,150,10,290.424747301587,167,436
2037,150,10,289.68684994709,162,440
2038,150,10,288.939398730159,157,445
2039,150,10,288.172720634921,153,449
2040,150,10,287.423411428571,149,453
2041,150,10,286.679936507937,145,457
2042,150,10,285.957778412698,141,461
2043,150,10,285.261499259259,137,465
2044,150,10,284.509259259259,134,468
2045,150,10,283.783112910053,131,472
2046,150,10,283.043203703704,127,475
2047,150,10,282.343068042328,124,478
2048,150,10,281.600254179894,121,481
2049,150,10,280.837444973545,118,484
2050,150,10,280.088698306878,115,487
2051,150,10,279.382942328042,112,490
2052,150,10,278.668451111111,109,492
2053,150,10,277.882968042328,107,495
2023,200,15,400,400,400
2024,200,15,399.153264761905,349,450
2025,200,15,398.328822116402,328,471
2026,200,15,397.482215343915,313,488
2027,200,15,396.671088994709,300,502
2028,200,15,395.843785291005,288,514
2029,200,15,394.977306137566,278,525
2030,200,15,394.179802645503,269,535
2031,200,15,393.37897026455,260,544
2032,200,15,392.553092169312,252,553
2033,200,15,391.706013862434,245,561
2034,200,15,390.858517354497,237,568
2035,200,15,390.026803597884,231,576
2036,200,15,389.180713968254,224,582
2037,200,15,388.38865957672,218,589
2038,200,15,387.537562116402,212,595
2039,200,15,386.723306031746,207,601
2040,200,15,385.915206349206,201,607
2041,200,15,385.091450687831,196,612
2042,200,15,384.301261587302,191,618
2043,200,15,383.48726031746,186,623
2044,200,15,382.678219259259,182,628
2045,200,15,381.810967195767,177,632
2046,200,15,380.978734391534,173,637
2047,200,15,380.132732169312,169,641
2048,200,15,379.317305502646,165,645
2049,200,15,378.511269100529,161,649
2050,200,15,377.68605015873,157,653
2051,200,15,376.878879470899,153,658
2052,200,15,376.099486137566,150,661
2053,200,15,375.269376507936,146,665
2023,250,20,500,500,500
2024,250,20,499.101657883598,436,562
2025,250,20,498.18326031746,411,589
2026,250,20,497.232518941799,391,610
2027,250,20,496.297762222222,375,627
2028,250,20,495.393453121693,361,642
2029,250,20,494.501039365079,349,656
2030,250,20,493.603120952381,337,669
2031,250,20,492.70932952381,327,681
2032,250,20,491.827322962963,317,691
2033,250,20,490.935575873016,307,702
2034,250,20,490.058779470899,299,711
2035,250,20,489.114885291005,290,721
2036,250,20,488.207057248677,282,729
2037,250,20,487.282394391534,275,737
2038,250,20,486.381743492063,267,745
2039,250,20,485.462079259259,261,753
2040,250,20,484.542458835979,254,760
2041,250,20,483.58611968254,247,767
2042,250,20,482.645278941799,241,774
2043,250,20,481.740432169312,235,780
2044,250,20,480.846392275132,230,787
2045,250,20,479.851251111111,224,792
2046,250,20,478.966492380952,219,798
2047,250,20,478.039356084656,214,804
2048,250,20,477.108072275132,209,809
2049,250,20,476.163172698413,204,814
2050,250,20,475.227840846561,199,819
2051,250,20,474.304637142857,195,824
2052,250,20,473.432428148148,191,829
2053,250,20,472.441112275132,186,834
2023,150,25,300,300,300
2024,150,25,299.268654603175,261,337
2025,150,25,298.527751111111,246,354
2026,150,25,297.796520634921,234,366
2027,150,25,297.046050582011,224,376
2028,150,25,296.329468888889,215,385
2029,150,25,295.57390994709,208,393
2030,150,25,294.85879968254,200,401
2031,150,25,294.147497777778,194,408
2032,150,25,293.42744,188,414
2033,150,25,292.670428571429,182,420
2034,150,25,291.934822645503,177,426
2035,150,25,291.188706560847,171,431
2036,150,25,290.424747301587,167,436
2037,150,25,289.68684994709,162,440
2038,150,25,288.939398730159,157,445
2039,150,25,288.172720634921,153,449
2040,150,25,287.423411428571,149,453
2041,150,25,286.679936507937,145,457
2042,150,25,285.957778412698,141,461
2043,150,25,285.261499259259,137,465
2044,150,25,284.509259259259,134,468
2045,150,25,283.783112910053,131,472
2046,150,25,283.043203703704,127,475
2047,150,25,282.343068042328,124,478
2048,150,25,281.600254179894,121,481
2049,150,25,280.837444973545,118,484
2050,150,25,280.088698306878,115,487
2051,150,25,279.382942328042,112,490
2052,150,25,278.668451111111,109,492
2053,150,25,277.882968042328,107,495
2023,200,30,400,400,400
2024,200,30,399.153264761905,349,450
2025,200,30,398.328822116402,328,471
2026,200,30,397.482215343915,313,488
2027,200,30,396.671088994709,300,502
2028,200,30,395.843785291005,288,514
2029,200,30,394.977306137566,278,525
2030,200,30,394.179802645503,269,535
2031,200,30,393.37897026455,260,544
2032,200,30,392.553092169312,252,553
2033,200,30,391.706013862434,245,561
2034,200,30,390.858517354497,237,568
2035,200,30,390.026803597884,231,576
2036,200,30,389.180713968254,224,582
2037,200,30,388.38865957672,218,589
2038,200,30,387.537562116402,212,595
2039,200,30,386.723306031746,207,601
2040,200,30,385.915206349206,201,607
2041,200,30,385.091450687831,196,612
2042,200,30,384.301261587302,191,618
2043,200,30,383.48726031746,186,623
2044,200,30,382.678219259259,182,628
2045,200,30,381.810967195767,177,632
2046,200,30,380.978734391534,173,637
2047,200,30,380.132732169312,169,641
2048,200,30,379.317305502646,165,645
2049,200,30,378.511269100529,161,649
2050,200,30,377.68605015873,157,653
2051,200,30,376.878879470899,153,658
2052,200,30,376.099486137566,150,661
2053,200,30,375.269376507936,146,665
2023,250,35,500,500,500
2024,250,35,499.101657883598,436,562
2025,250,35,498.18326031746,411,589
2026,250,35,497.232518941799,391,610
2027,250,35,496.297762222222,375,627
2028,250,35,495.393453121693,361,642
2029,250,35,494.501039365079,349,656
2030,250,35,493.603120952381,337,669
2031,250,35,492.70932952381,327,681
2032,250,35,491.827322962963,317,691
2033,250,35,490.935575873016,307,702
2034,250,35,490.058779470899,299,711
2035,250,35,489.114885291005,290,721
2036,250,35,488.207057248677,282,729
2037,250,35,487.282394391534,275,737
2038,250,35,486.381743492063,267,745
2039,250,35,485.462079259259,261,753
2040,250,35,484.542458835979,254,760
2041,250,35,483.58611968254,247,767
2042,250,35,482.645278941799,241,774
2043,250,35,481.740432169312,235,780
2044,250,35,480.846392275132,230,787
2045,250,35,479.851251111111,224,792
2046,250,35,478.966492380952,219,798
2047,250,35,478.039356084656,214,804
2048,250,35,477.108072275132,209,809
2049,250,35,476.163172698413,204,814
2050,250,35,475.227840846561,199,819
2051,250,35,474.304637142857,195,824
2052,250,35,473.432428148148,191,829
2053,250,35,472.441112275132,186,834
2023,150,10,300,300,300
2024,150,10,299.268654603175,261,337
2025,150,10,298.527751111111,246,354
2026,150,10,297.796520634921,234,366
2027,150,10,297.046050582011,224,376
2028,150,10,296.329468888889,215,385
2029,150,10,295.57390994709,208,393
2030,150,10,294.85879968254,200,401
2031,150,10,294.147497777778,194,408
2032,150,10,293.42744,188,414
2033,150,10,292.670428571429,182,420
2034,150,10,291.934822645503,177,426
2035,150,10,291.188706560847,171,431
2036,150,10,290.424747301587,167,436
2037,150,10,289.68684994709,162,440
2038,150,10,288.939398730159,157,445
2039,150,10,288.172720634921,153,449
2040,150,10,287.423411428571,149,453
2041,150,10,286.679936507937,145,457
2042,150,10,285.957778412698,141,461
2043,150,10,285.261499259259,137,465
2044,150,10,284.509259259259,134,468
2045,150,10,283.783112910053,131,472
2046,150,10,283.043203703704,127,475
2047,150,10,282.343068042328,124,478
2048,150,10,281.600254179894,121,481
2049,150,10,280.837444973545,118,484
2050,150,10,280.088698306878,115,487
2051,150,10,279.382942328042,112,490
2052,150,10,278.668451111111,109,492
2053,150,10,277.882968042328,107,495
2023,200,15,400,400,400
2024,200,15,399.153264761905,349,450
2025,200,15,398.328822116402,328,471
2026,200,15,397.482215343915,313,488
2027,200,15,396.671088994709,300,502
2028,200,15,395.843785291005,288,514
2029,200,15,394.977306137566,278,525
2030,200,15,394.179802645503,269,535
2031,200,15,393.37897026455,260,544
2032,200,15,392.553092169312,252,553
2033,200,15,391.706013862434,245,561
2034,200,15,390.858517354497,237,568
2035,200,15,390.026803597884,231,576
2036,200,15,389.180713968254,224,582
2037,200,15,388.38865957672,218,589
2038,200,15,387.537562116402,212,595
2039,200,15,386.723306031746,207,601
2040,200,15,385.915206349206,201,607
2041,200,15,385.091450687831,196,612
2042,200,15,384.301261587302,191,618
2043,200,15,383.48726031746,186,623
2044,200,15,382.678219259259,182,628
2045,200,15,381.810967195767,177,632
2046,200,15,380.978734391534,173,637
2047,200,15,380.132732169312,169,641
2048,200,15,379.317305502646,165,645
2049,200,15,378.511269100529,161,649
2050,200,15,377.68605015873,157,653
2051,200,15,376.878879470899,153,658
2052,200,15,376.099486137566,150,661
2053,200,15,375.269376507936,146,665
2023,250,20,500,500,500
2024,250,20,499.101657883598,436,562
2025,250,20,498.18326031746,411,589
2026,250,20,497.232518941799,391,610
2027,250,20,496.297762222222,375,627
2028,250,20,495.393453121693,361,642
2029,250,20,494.501039365079,349,656
2030,250,20,493.603120952381,337,669
2031,250,20,492.70932952381,327,681
2032,250,20,491.827322962963,317,691
2033,250,20,490.935575873016,307,702
2034,250,20,490.058779470899,299,711
2035,250,20,489.114885291005,290,721
2036,250,20,488.207057248677,282,729
2037,250,20,487.282394391534,275,737
2038,250,20,486.381743492063,267,745
2039,250,20,485.462079259259,261,753
2040,250,20,484.542458835979,254,760
2041,250,20,483.58611968254,247,767
2042,250,20,482.645278941799,241,774
2043,250,20,481.740432169312,235,780
2044,250,20,480.846392275132,230,787
2045,250,20,479.851251111111,224,792
2046,250,20,478.966492380952,219,798
2047,250,20,478.039356084656,214,804
2048,250,20,477.108072275132,209,809
2049,250,20,476.163172698413,204,814
2050,250,20,475.227840846561,199,819
2051,250,20,474.304637142857,195,824
2052,250,20,473.432428148148,191,829
2053,250,20,472.441112275132,186,834
2023,150,25,300,300,300
2024,150,25,299.268654603175,261,337
2025,150,25,298.527751111111,246,354
2026,150,25,297.796520634921,234,366
2027,150,25,297.046050582011,224,376
2028,150,25,296.329468888889,215,385
2029,150,25,295.57390994709,208,393
2030,150,25,294.85879968254,200,401
2031,150,25,294.147497777778,194,408
2032,150,25,293.42744,188,414
2033,150,25,292.670428571429,182,420
2034,150,25,291.934822645503,177,426
2035,150,25,291.188706560847,171,431
2036,150,25,290.424747301587,167,436
2037,150,25,289.68684994709,162,440
2038,150,25,288.939398730159,157,445
2039,150,25,288.172720634921,153,449
2040,150,25,287.423411428571,149,453
2041,150,25,286.679936507937,145,457
2042,150,25,285.957778412698,141,461
2043,150,25,285.261499259259,137,465
2044,150,25,284.509259259259,134,468
2045,150,25,283.783112910053,131,472
2046,150,25,283.043203703704,127,475
2047,150,25,282.343068042328,124,478
2048,150,25,281.600254179894,121,481
2049,150,25,280.837444973545,118,484
2050,150,25,280.088698306878,115,487
2051,150,25,279.382942328042,112,490
2052,150,25,278.668451111111,109,492
2053,150,25,277.882968042328,107,495
2023,200,30,400,400,400
2024,200,30,399.153264761905,349,450
2025,200,30,398.328822116402,328,471
2026,200,30,397.482215343915,313,488
2027,200,30,396.671088994709,300,502
2028,200,30,395.843785291005,288,514
2029,200,30,394.977306137566,278,525
2030,200,30,394.179802645503,269,535
2031,200,30,393.37897026455,260,544
2032,200,30,392.553092169312,252,553
2033,200,30,391.706013862434,245,561
2034,200,30,390.858517354497,237,568
2035,200,30,390.026803597884,231,576
2036,200,30,389.180713968254,224,582
2037,200,30,388.38865957672,218,589
2038,200,30,387.537562116402,212,595
2039,200,30,386.723306031746,207,601
2040,200,30,385.915206349206,201,607
2041,200,30,385.091450687831,196,612
2042,200,30,384.301261587302,191,618
2043,200,30,383.48726031746,186,623
2044,200,30,382.678219259259,182,628
2045,200,30,381.810967195767,177,632
2046,200,30,380.978734391534,173,637
2047,200,30,380.132732169312,169,641
2048,200,30,379.317305502646,165,645
2049,200,30,378.511269100529,161,649
2050,200,30,377.68605015873,157,653
2051,200,30,376.878879470899,153,658
2052,200,30,376.099486137566,150,661
2053,200,30,375.269376507936,146,665
2023,250,35,500,500,500
2024,250,35,499.101657883598,436,562
2025,250,35,498.18326031746,411,589
2026,250,35,497.232518941799,391,610
2027,250,35,496.297762222222,375,627
2028,250,35,495.393453121693,361,642
2029,250,35,494.501039365079,349,656
2030,250,35,493.603120952381,337,669
2031,250,35,492.70932952381,327,681
2032,250,35,491.827322962963,317,691
2033,250,35,490.935575873016,307,702
2034,250,35,490.058779470899,299,711
2035,250,35,489.114885291005,290,721
2036,250,35,488.207057248677,282,729
2037,250,35,487.282394391534,275,737
2038,250,35,486.381743492063,267,745
2039,250,35,485.462079259259,261,753
2040,250,35,484.542458835979,254,760
2041,250,35,483.58611968254,247,767
2042,250,35,482.645278941799,241,774
2043,250,35,481.740432169312,235,780
2044,250,35,480.846392275132,230,787
2045,250,35,479.851251111111,224,792
2046,250,35,478.966492380952,219,798
2047,250,35,478.039356084656,214,804
2048,250,35,477.108072275132,209,809
2049,250,35,476.163172698413,204,814
2050,250,35,475.227840846561,199,819
2051,250,35,474.304637142857,195,824
2052,250,35,473.432428148148,191,829
2053,250,35,472.441112275132,186,834
